times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
51.6|1.0|0.0|0.0|-126996.73271569498|-126994.14716276045
51.8|1.0|0.0|0.0|-126778.76887258224|-126778.21392463529
52.0|1.0|0.0|0.0|-127212.47857625538|-127211.72182905502
52.2|1.0|0.0|0.0|-126852.62106360619|-126851.5616175257
52.4|1.0|0.0|0.0|-127204.16797553006|-127203.4742905964
52.6|1.0|0.0|0.0|-127060.53086916385|-127059.86240913688
52.8|1.0|0.0|0.0|-126643.05640114544|-126642.70325245193
53.0|1.0|0.0|0.0|-126971.77115992433|-126971.2792742441
53.2|1.0|0.0|0.0|-127145.32537379103|-127144.70736357741
53.4|1.0|0.0|0.0|-126756.49916015177|-126756.24691108498
53.6|1.0|0.0|0.0|-126919.6156991041|-126919.18687569058
53.8|1.0|0.0|0.0|-126834.5068639711|-126833.64921714405
54.0|1.0|0.0|0.0|-126887.35918214824|-126886.07271190766
54.2|1.0|0.0|0.0|-126868.16931509042|-126867.6900418635
54.4|1.0|0.0|0.0|-126741.89172534614|-126740.7566045456
54.6|1.0|0.0|0.0|-126499.08938611296|-126497.66417888562
54.8|1.0|0.0|0.0|-126619.95452646264|-126618.89508038214
55.0|1.0|0.0|0.0|-126554.67246797886|-126554.54634344549
55.2|1.0|0.0|0.0|-126634.20659873594|-126633.10931529543
55.4|1.0|0.0|0.0|-126915.86960425563|-126915.0876321486
55.6|1.0|0.0|0.0|-126779.56914702921|-126778.83762473553
55.8|1.0|0.0|0.0|-126809.51111125648|-126809.33453690975
56.0|1.0|0.0|0.0|-127059.69044633675|-127057.87425305591
56.2|1.0|0.0|0.0|-126954.94350181828|-126952.74893493726
56.4|1.0|0.0|0.0|-126638.47322284279|-126636.95972844209
56.6|1.0|0.0|0.0|-127080.22695834037|-127079.06661263315
56.8|1.0|0.0|0.0|-127058.12715665372|-127056.89113622646
57.0|1.0|0.0|0.0|-126853.89082616853|-126853.0836291548
57.2|1.0|0.0|0.0|-127026.68333805929|-127025.59866707212
57.4|1.0|0.0|0.0|-127023.35365037774|-127023.0509514976
57.6|1.0|0.0|0.0|-126874.89246212188|-126872.60960806748
57.8|1.0|0.0|0.0|-126866.88355425147|-126863.78089073002
58.0|1.0|0.0|0.0|-126719.21695055597|-126719.04037620922
58.2|1.0|0.0|0.0|-126920.45560181666|-126919.82497914971
